instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2010-09-20,3,0,9,0,0,1,1,0.93617,0.787879,0.47,0.358209,34,178,212
2,2010-09-21,3,0,9,0,1,1,1,0.914894,0.772727,0.55,0.313433,109,215,324
3,2010-09-22,4,0,9,0,2,1,1,0.87234,0.742424,0.54,0.477612,117,260,377
4,2010-09-23,4,0,9,0,3,1,1,0.787234,0.681818,0.34,0.597015,124,249,373
5,2010-09-24,4,0,9,0,4,1,1,0.765957,0.666667,0.46,0.432836,156,206,362
6,2010-09-25,4,0,9,0,5,0,1,0.829787,0.712121,0.51,0.402985,267,272,539
7,2010-09-26,4,0,9,0,6,0,1,0.893617,0.757576,0.51,0.477612,230,307,537
8,2010-09-27,4,0,9,0,0,1,1,0.93617,0.787879,0.41,0.522388,64,222,286
9,2010-09-28,4,0,9,0,1,1,1,0.744681,0.651515,0.4,0.522388,101,310,411
10,2010-09-29,4,0,9,0,2,1,1,0.723404,0.636364,0.49,0.402985,77,345,422
11,2010-09-30,4,0,9,0,3,1,1,0.744681,0.651515,0.51,0.358209,19,140,159
12,2010-10-01,4,0,10,0,4,1,3,0.659574,0.590909,0.77,0.343284,164,414,578
13,2010-10-02,4,0,10,0,5,0,1,0.787234,0.681818,0.65,0.402985,397,442,839
14,2010-10-03,4,0,10,0,6,0,1,0.787234,0.681818,0.58,0.507463,222,283,505
15,2010-10-04,4,0,10,0,0,1,1,0.808511,0.69697,0.52,0.343284,58,268,326
16,2010-10-05,4,0,10,0,1,1,3,0.87234,0.742424,0.63,0.58209,86,538,624
17,2010-10-06,4,0,10,0,2,1,3,0.765957,0.666667,0.65,0.507463,94,569,663
18,2010-10-07,4,0,10,0,3,1,1,0.723404,0.636364,0.55,0.343284,162,707,869
19,2010-10-08,4,0,10,1,4,1,1,0.787234,0.681818,0.61,0.208955,218,696,914
20,2010-10-09,4,0,10,0,5,0,1,0.744681,0.651515,0.49,0.507463,570,539,1109
21,2010-10-10,4,0,10,0,6,0,1,0.744681,0.651515,0.52,0.343284,621,476,1097
22,2010-10-11,4,0,10,0,0,1,1,0.914894,0.772727,0.59,0.358209,350,617,967
23,2010-10-12,4,0,10,0,1,1,1,0.893617,0.757576,0.63,0.283582,248,832,1080
24,2010-10-13,4,0,10,0,2,1,1,0.957447,0.80303,0.58,0.522388,237,894,1131
25,2010-10-14,4,0,10,0,3,1,1,0.893617,0.757576,0.46,0.432836,72,501,573
26,2010-10-15,4,0,10,0,4,1,3,0.680851,0.606061,0.58,0.432836,280,857,1137
27,2010-10-16,4,0,10,0,5,0,3,0.723404,0.636364,0.85,0.626866,567,807,1374
28,2010-10-17,4,0,10,0,6,0,1,0.787234,0.681818,0.68,0.552239,597,735,1332
29,2010-10-18,4,0,10,0,0,1,3,0.553191,0.515152,0.73,0.283582,194,943,1137
30,2010-10-19,4,0,10,0,1,1,3,0.744681,0.651515,0.86,0.776119,194,955,1149
31,2010-10-20,4,0,10,0,2,1,3,0.680851,0.606061,0.61,0.701493,166,974,1140
32,2010-10-21,4,0,10,0,3,1,1,0.638298,0.575758,0.56,0.358209,194,1134,1328
33,2010-10-22,4,0,10,0,4,1,3,0.574468,0.530303,0.73,0.477612,1,237,238
34,2010-10-23,4,0,10,0,5,0,3,0.468085,0.454545,0.82,0.477612,1125,760,1885
35,2010-10-24,4,0,10,0,6,0,3,0.680851,0.606061,0.61,0.701493,938,718,1656
36,2010-10-25,4,0,10,0,0,1,1,0.638298,0.575758,0.56,0.358209,826,227,1053
37,2010-10-26,4,0,10,0,1,1,3,0.574468,0.530303,0.73,0.477612,1100,267,1367
38,2010-10-27,4,0,10,0,2,1,3,0.468085,0.454545,0.82,0.477612,1287,142,1429
39,2010-10-28,4,0,10,0,3,1,1,0.531915,0.5,0.63,0.507463,875,357,1232
40,2010-10-29,4,0,10,0,4,1,3,0.531915,0.5,0.67,0.402985,1337,1,1338
41,2010-10-30,4,0,10,0,5,0,1,0.702128,0.621212,0.63,0.507463,416,1236,1652
42,2010-10-31,4,0,10,0,6,0,1,0.723404,0.636364,0.56,0.343284,1157,1133,2290
43,2010-11-01,4,0,11,0,0,1,1,0.765957,0.666667,0.56,0.358209,2,988,990
44,2010-11-02,4,0,11,0,1,1,1,0.723404,0.636364,0.63,0.343284,954,236,1190
45,2010-11-03,4,0,11,0,2,1,1,0.829787,0.712121,0.58,0.313433,1215,182,1397
46,2010-11-04,4,0,11,0,3,1,1,0.765957,0.666667,0.62,0.432836,1223,180,1403
47,2010-11-05,4,0,11,0,4,1,1,0.638298,0.575758,0.51,0.358209,1310,45,1355
48,2010-11-06,4,0,11,0,5,0,3,0.510638,0.484848,0.8,0.432836,544,294,838
49,2010-11-07,4,0,11,0,6,0,1,0.553191,0.515152,0.55,0.58209,1560,604,2164
50,2010-11-08,4,0,11,0,0,1,1,0.595745,0.545455,0.49,0.626866,1212,394,1606
51,2010-11-09,4,0,11,0,1,1,1,0.680851,0.606061,0.56,0.402985,1020,163,1183
52,2010-11-10,4,0,11,0,2,1,3,0.595745,0.545455,0.56,0.208955,1436,215,1651
53,2010-11-11,4,0,11,0,3,1,2,0.531915,0.5,0.76,0.432836,1719,226,1945
54,2010-11-12,4,0,11,1,4,1,3,0.489362,0.469697,0.84,0.238806,1822,1,1823
55,2010-11-13,4,0,11,0,5,0,1,0.617021,0.560606,0.63,0.597015,417,1632,2049
56,2010-11-14,4,0,11,0,6,0,1,0.510638,0.484848,0.51,0.522388,396,1624,2020
57,2010-11-15,4,0,11,0,0,1,1,0.617021,0.560606,0.57,0.358209,915,1350,2265
58,2010-11-16,4,0,11,0,1,1,1,0.659574,0.590909,0.66,0.313433,822,1183,2005
59,2010-11-17,4,0,11,0,2,1,2,0.680851,0.606061,0.77,0.58209,218,1517,1735
60,2010-11-18,4,0,11,0,3,1,2,0.659574,0.590909,0.83,0.477612,1,62,63
61,2010-11-19,4,0,11,0,4,1,3,0.680851,0.606061,0.9,0.626866,710,180,890
62,2010-11-20,4,0,11,0,5,0,1,0.723404,0.636364,0.61,0.671642,1743,191,1934
63,2010-11-21,4,0,11,0,6,0,1,0.468085,0.454545,0.47,0.671642,1665,250,1915
64,2010-11-22,4,0,11,0,0,1,1,0.510638,0.484848,0.56,0.507463,1704,1,1705
65,2010-11-23,4,0,11,0,1,1,1,0.574468,0.530303,0.54,0.522388,837,1514,2351
66,2010-11-24,4,0,11,0,2,1,1,0.446809,0.439394,0.54,0.358209,563,1189,1752
67,2010-11-25,4,0,11,0,3,1,1,0.425532,0.424242,0.54,0.343284,257,1648,1905
68,2010-11-26,4,0,11,0,4,1,3,0.468085,0.454545,0.73,0.283582,161,1604,1765
69,2010-11-27,4,0,11,0,5,0,3,0.404255,0.409091,0.88,0.402985,157,1322,1479
70,2010-11-28,4,0,11,0,6,0,1,0.468085,0.454545,0.65,0.507463,196,357,553
71,2010-11-29,4,0,11,0,0,1,1,0.425532,0.424242,0.64,0.38806,197,581,778
72,2010-11-30,4,0,11,0,1,1,1,0.425532,0.424242,0.62,0.507463,362,576,938
