word,times occurred,freq
the,10698,5.6727434698227865
and,7045,3.7356961810526763
of,5028,2.666157615093379
to,3858,2.045751010149216
a,3522,1.8675829594985842
in,2703,1.4332983360376699
was,2430,1.2885367948840316
that,2256,1.196271197225669
he,2234,1.1846054320044965
I,2191,1.16180416361766
it,1644,0.8717508192548757
they,1518,0.8049378002608889
his,1494,0.792211510928701
not,1305,0.6919919824377208
you,1280,0.6787354310500249
is,1260,0.6681301899398683
as,1254,0.6649486176068213
had,1246,0.6607065211627586
for,1241,0.6580552108852195
said,1159,0.6145737223335772
on,1122,0.5949540262797874
with,1067,0.5657896132268567
were,1016,0.5387462483959573
at,1015,0.5382159863404494
have,988,0.523898910841738
The,974,0.5164752420646284
but,961,0.5095818353430265
be,841,0.4459503886820867
from,722,0.3828492040766547
all,704,0.3733044870775137
we,693,0.36747160446692756
or,668,0.35421505307923173
He,660,0.3499729566351691
their,655,0.34732164635762997
are,627,0.33247430880341067
if,613,0.325050640026301
Frodo,586,0.31073356452758955
there,554,0.2937651787513389
But,553,0.29323491669583107
by,534,0.28315993764118225
no,518,0.27467574475305695
will,514,0.27255469653102565
out,511,0.2709639103645021
up,482,0.255586310754775
them,459,0.24339028347809488
my,457,0.2423297593670792
now,456,0.24179949731157138
into,451,0.2391481870340322
It,446,0.23649687675649306
been,444,0.23543635264547738
him,444,0.23543635264547738
this,429,0.2274824218128599
'I,428,0.22695215975735208
would,426,0.2258916356463364
could,423,0.22430084947981294
came,418,0.22164953920227376
They,418,0.22164953920227376
do,394,0.2089232498700858
long,392,0.20786272575907014
like,389,0.20627193959254664
what,351,0.18612198148324902
down,351,0.18612198148324902
many,339,0.17975883681715504
more,336,0.17816805065063154
than,330,0.17498647831758454
your,328,0.1739259542065689
some,320,0.16968385776250622
so,318,0.16862333365149057
one,312,0.16544176131844357
And,308,0.16332071309641225
when,304,0.16119966487438092
go,302,0.16013914076336525
There,301,0.15960887870785742
an,299,0.15854835459684177
before,297,0.1574878304858261
',296,0.15695756843031827
about,295,0.15642730637481042
still,294,0.1558970443193026
far,294,0.1558970443193026
has,292,0.15483652020828695
over,286,0.15165494787523995
seemed,286,0.15165494787523995
any,281,0.14900363759770077
great,276,0.14635232732016162
then,273,0.14476154115363812
only,270,0.14317075498711462
come,263,0.1394589205985598
did,260,0.1378681344320363
see,258,0.13680761032102065
went,257,0.13627734826551283
upon,254,0.13468656209898933
me,251,0.13309577593246583
shall,247,0.1309747277104345
which,243,0.12885367948840318
may,242,0.12832341743289533
must,242,0.12832341743289533
looked,241,0.1277931553773875
back,237,0.12567210715535618
our,236,0.12514184509984835
Frodo.,236,0.12514184509984835
Sam,226,0.11983922454477003
very,224,0.11877870043375437
even,223,0.11824843837824653
last,219,0.1161273901562152
Gandalf,219,0.1161273901562152
its,215,0.11400634193418388
dark,214,0.11347607987867604
am,214,0.11347607987867604
can,212,0.11241555576766038
old,210,0.11135503165664472
know,209,0.11082476960113688
where,209,0.11082476960113688
us,207,0.10976424549012122
other,200,0.1060524111015664
through,200,0.1060524111015664
it.,198,0.10499188699055073
heard,197,0.1044616249350429
light,195,0.10340110082402723
under,192,0.10181031465750374
little,191,0.1012800526019959
away,191,0.1012800526019959
time,191,0.1012800526019959
much,190,0.10074979054648807
saw,188,0.0996892664354724
who,187,0.09915900437996458
should,187,0.09915900437996458
made,186,0.09862874232445674
Then,184,0.09756821821344108
In,180,0.09544716999140976
after,180,0.09544716999140976
way,179,0.09491690793590192
'But,178,0.0943866458803941
Bilbo,174,0.09226559765836276
left,173,0.09173533560285493
found,172,0.0912050735473471
thought,172,0.0912050735473471
him.,170,0.09014454943633143
said.,168,0.08908402532531577
A,167,0.08855376326980793
though,164,0.08696297710328445
here,163,0.08643271504777661
"it,",162,0.08590245299226879
again,162,0.08590245299226879
hobbits,161,0.08537219093676095
off,160,0.08484192888125311
don't,159,0.08431166682574529
good,158,0.08378140477023745
At,157,0.08325114271472962
We,154,0.08166035654820612
never,153,0.08113009449269828
Ring,150,0.0795393083261748
-,150,0.0795393083261748
think,149,0.07900904627066696
Mr.,149,0.07900904627066696
For,148,0.07847878421515914
"him,",148,0.07847878421515914
Gandalf.,148,0.07847878421515914
while,146,0.07741826010414347
felt,146,0.07741826010414347
stood,145,0.07688799804863564
